ano,pais,kg,us$,us$/kg
2008,África do Sul,0,0,0.0
2009,África do Sul,0,0,0.0
2010,África do Sul,0,0,0.0
2011,África do Sul,0,0,0.0
2012,África do Sul,0,0,0.0
2013,África do Sul,0,0,0.0
2014,África do Sul,0,0,0.0
2015,África do Sul,0,0,0.0
2016,África do Sul,0,0,0.0
2017,África do Sul,0,0,0.0
2018,África do Sul,0,0,0.0
2019,África do Sul,0,0,0.0
2020,África do Sul,0,0,0.0
2021,África do Sul,0,0,0.0
2022,África do Sul,0,0,0.0
2023,África do Sul,2,44,22.0
2008,Alemanha,5423,20928,3.859118569057717
2009,Alemanha,6648,29018,4.364921780986763
2010,Alemanha,1958,6877,3.5122574055158324
2011,Alemanha,1976,12018,6.081983805668016
2012,Alemanha,833,5072,6.088835534213685
2013,Alemanha,5809,30461,5.243759683250129
2014,Alemanha,9236,62169,6.731160675617151
2015,Alemanha,6256,30939,4.945492327365729
2016,Alemanha,4293,19088,4.446307943163289
2017,Alemanha,4824,28799,5.969941956882256
2018,Alemanha,4092,21373,5.223118279569892
2019,Alemanha,1003,5466,5.4496510468594215
2020,Alemanha,2388,14767,6.183835845896147
2021,Alemanha,142,265,1.8661971830985915
2022,Alemanha,1164,6560,5.635738831615121
2023,Alemanha,162,1542,9.518518518518519
2008,Angola,2244,10581,4.71524064171123
2009,Angola,11393,33664,2.954796805055736
2010,Angola,104138,672533,6.458094067487372
2011,Angola,904,14196,15.70353982300885
2012,Angola,73,1426,19.534246575342465
2013,Angola,5850,21060,3.6
2014,Angola,6866,22423,3.2658025050975823
2015,Angola,0,0,0.0
2016,Angola,90,1010,11.222222222222221
2017,Angola,0,0,0.0
2018,Angola,63,280,4.444444444444445
2019,Angola,1007,3615,3.58987090367428
2020,Angola,24,38,1.5833333333333333
2021,Angola,0,0,0.0
2022,Angola,26383,141588,5.366637607550317
2023,Angola,56242,315073,5.602094520109527
2008,Antigua e Barbuda,0,0,0.0
2009,Antigua e Barbuda,0,0,0.0
2010,Antigua e Barbuda,0,0,0.0
2011,Antigua e Barbuda,0,0,0.0
2012,Antigua e Barbuda,0,0,0.0
2013,Antigua e Barbuda,0,0,0.0
2014,Antigua e Barbuda,0,0,0.0
2015,Antigua e Barbuda,0,0,0.0
2016,Antigua e Barbuda,0,0,0.0
2017,Antigua e Barbuda,0,0,0.0
2018,Antigua e Barbuda,0,0,0.0
2019,Antigua e Barbuda,7,34,4.857142857142857
2020,Antigua e Barbuda,32,328,10.25
2021,Antigua e Barbuda,10,82,8.2
2022,Antigua e Barbuda,65,146,2.246153846153846
2023,Antigua e Barbuda,24,100,4.166666666666667
2008,Antilhas Holandesas,0,0,0.0
2009,Antilhas Holandesas,180,1660,9.222222222222221
2010,Antilhas Holandesas,0,0,0.0
2011,Antilhas Holandesas,9144,65766,7.192257217847769
2012,Antilhas Holandesas,0,0,0.0
2013,Antilhas Holandesas,0,0,0.0
2014,Antilhas Holandesas,0,0,0.0
2015,Antilhas Holandesas,0,0,0.0
2016,Antilhas Holandesas,0,0,0.0
2017,Antilhas Holandesas,0,0,0.0
2018,Antilhas Holandesas,0,0,0.0
2019,Antilhas Holandesas,0,0,0.0
2020,Antilhas Holandesas,0,0,0.0
2021,Antilhas Holandesas,0,0,0.0
2022,Antilhas Holandesas,0,0,0.0
2023,Antilhas Holandesas,0,0,0.0
2008,Argentina,0,0,0.0
2009,Argentina,0,0,0.0
2010,Argentina,0,0,0.0
2011,Argentina,0,0,0.0
2012,Argentina,0,0,0.0
2013,Argentina,0,0,0.0
2014,Argentina,0,0,0.0
2015,Argentina,0,0,0.0
2016,Argentina,0,0,0.0
2017,Argentina,0,0,0.0
2018,Argentina,4342,17243,3.9712114233072318
2019,Argentina,0,0,0.0
2020,Argentina,315,894,2.8380952380952382
2021,Argentina,0,0,0.0
2022,Argentina,0,0,0.0
2023,Argentina,8593,73239,8.523100197835447
2008,Aruba,0,0,0.0
2009,Aruba,0,0,0.0
2010,Aruba,0,0,0.0
2011,Aruba,0,0,0.0
2012,Aruba,0,0,0.0
2013,Aruba,0,0,0.0
2014,Aruba,0,0,0.0
2015,Aruba,0,0,0.0
2016,Aruba,0,0,0.0
2017,Aruba,0,0,0.0
2018,Aruba,18,7,0.3888888888888889
2019,Aruba,0,0,0.0
2020,Aruba,0,0,0.0
2021,Aruba,0,0,0.0
2022,Aruba,0,0,0.0
2023,Aruba,0,0,0.0
2008,Australia,0,0,0.0
2009,Australia,0,0,0.0
2010,Australia,0,0,0.0
2011,Australia,0,0,0.0
2012,Australia,1317,11057,8.395596051632499
2013,Australia,767,5809,7.573663624511082
2014,Australia,618,3951,6.393203883495145
2015,Australia,235,1368,5.821276595744681
2016,Australia,594,2602,4.380471380471381
2017,Australia,595,2276,3.8252100840336136
2018,Australia,0,0,0.0
2019,Australia,180,800,4.444444444444445
2020,Australia,144,503,3.4930555555555554
2021,Australia,184,654,3.5543478260869565
2022,Australia,0,0,0.0
2023,Australia,10,6,0.6
2008,Bahamas,0,0,0.0
2009,Bahamas,0,0,0.0
